countries,total_recovered,active_cases,total_cases_per_million,death_per_million,new_cases,total_cases,total_deaths,new_deaths
Aruba,20,62,768,0,5,82,82,0
Liechtenstein,55,22,2046,26,0,78,78,0
Mali,22,45,4,0.3,15,74,74,0
Togo,24,46,9,0.4,3,73,73,0
Jamaica,10,49,21,1,0,63,63,0
Barbados,8,52,219,10,0,63,63,0
Congo,5,50,11,0.9,15,60,60,0
Ethiopia,4,50,0.5,0.02,1,56,56,0
Uganda,0,53,1,0,0,53,53,0
French Polynesia,0,51,182,0,0,51,51,0
Cayman Islands,6,38,685,15,0,45,45,0
Macao,10,35,69,0,0,45,45,0
Sint Maarten,1,36,1003,140,3,43,43,0
Bahamas,5,28,102,18,0,40,40,0
Bermuda,23,13,626,48,0,39,39,0
Zambia,7,31,2,0.05,0,39,39,0
Guyana,8,23,47,8,0,37,37,0
Guinea-Bissau,0,36,18,0,3,36,36,0
Gabon,1,32,15,0.4,0,34,34,0
Eritrea,0,33,9,0,0,33,33,0
Saint Martin,7,23,828,52,0,32,32,0
Liberia,3,24,6,0.8,0,31,31,0
Haiti,0,28,3,0.2,3,30,30,1
Benin,5,20,2,0.08,0,26,26,0
Tanzania,5,19,0.4,0.02,0,25,25,0
Myanmar,1,19,0.4,0.06,1,23,23,0
Libya,8,12,3,0.1,0,21,21,0
Angola,2,15,0.6,0.06,0,19,19,0
Antigua and Barbuda,0,17,194,20,0,19,19,0
Syria,4,13,1,0.1,0,19,19,0
Maldives,13,6,35,0,0,19,19,0
Equatorial Guinea,3,15,13,0,0,18,18,0
New Caledonia,1,17,63,0,0,18,18,0
Mozambique,1,16,0.5,0,0,17,17,0
Laos,0,16,2,0,1,16,16,0
Mongolia,4,12,5,0,0,16,16,0
Namibia,3,13,6,0,0,16,16,0
Sudan,2,11,0.3,0.05,1,15,15,0
Dominica,1,14,208,0,0,15,15,0
Fiji,0,15,17,0,0,15,15,0
Curaçao,7,6,85,6,0,14,14,0
Saint Lucia,1,13,76,0,0,14,14,0
Botswana,0,12,6,0.4,7,13,13,0
Somalia,1,10,0.8,0.06,0,12,12,0
Grenada,0,12,107,0,0,12,12,0
Eswatini,7,5,10,0,0,12,12,0
Zimbabwe,0,8,0.7,0.2,0,11,11,0
Greenland,11,0,194,0,0,11,11,0
Saint Kitts and Nevis,0,11,207,0,0,11,11,0
Seychelles,0,11,112,0,0,11,11,0
Suriname,4,5,17,2,0,10,10,0
Chad,2,8,0.6,0,0,10,10,0
MS Zaandam,0,7,0,0,0,9,9,0
Belize,0,8,23,3,1,9,9,0
Nepal,1,8,0.3,0,0,9,9,0
Montserrat,0,9,1803,0,0,9,9,0
Malawi,0,7,0.4,0.05,0,8,8,0
Turks and Caicos,0,7,207,26,0,8,8,0
CAR,0,8,2,0,0,8,8,0
Vatican City,2,6,9988,0,0,8,8,0
St. Vincent Grenadines,1,7,72,0,0,8,8,0
Cabo Verde,1,5,13,2,0,7,7,0
Mauritania,2,4,2,0.2,1,7,7,0
Sierra Leone,0,7,0.9,0,0,7,7,0
Nicaragua,0,5,0.9,0.2,0,6,6,0
St. Barth,1,5,607,0,0,6,6,0
Bhutan,2,3,6,0,0,5,5,0
Falkland Islands,1,4,1437,0,0,5,5,0
Gambia,2,1,2,0.4,0,4,4,0
Sao Tome and Principe,0,4,18,0,0,4,4,0
Western Sahara,0,4,7,0,0,4,4,0
Anguilla,0,3,200,0,0,3,3,0
British Virgin Islands,0,3,99,0,0,3,3,0
Burundi,0,3,0.3,0,0,3,3,0
South Sudan,0,3,0.3,0,1,3,3,0
Caribbean Netherlands,0,2,76,0,0,2,2,0
Papua New Guinea,0,2,0.2,0,0,2,2,0
Saint Pierre Miquelon,0,1,173,0,0,1,1,0
Timor-Leste,0,1,0.8,0,0,1,1,0
China,77370,1160,57,2,63,81865,81865,2
China,82735,16,77062,1041,57,3,4632,0
USA,764636,25844,71187,652874,2310,123,40575,1561
Spain,198674,4258,77357,100864,4249,437,20453,410
Italy,178972,3047,47055,108257,2960,391,23660,433
France,152894,1101,36578,96598,2342,302,19718,395
Germany,145742,2018,88000,53100,1739,55,4642,104
UK,120067,5850,0,103663,1769,237,16060,596
Turkey,86306,3977,11976,72313,1023,24,2017,127
Iran,82211,1343,57023,20070,979,61,5118,87
Russia,42853,6060,3291,39201,294,2,361,48
Brazil,38654,1932,22130,14062,182,12,2462,101
Belgium,38496,1313,8757,24056,3322,490,5683,230
Canada,35056,1673,11843,21626,929,42,1587,117
Netherlands,32655,1066,250,28721,1906,215,3684,83
Switzerland,27740,336,17800,8547,3205,161,1393,25
Portugal,20206,521,610,18882,1982,70,714,27
India,17615,1250,2854,14202,13,0.4,559,38
Peru,15628,1208,6811,8417,474,12,400,52
Ireland,15251,493,77,14564,3089,124,610,39
Austria,14749,78,10501,3796,1638,50,452,9
Sweden,14385,563,550,12295,1424,152,1540,29
Israel,13491,226,3754,9565,1559,20,172,8
Japan,10797,501,1159,9402,85,2,236,14
S. Korea,10661,8,8042,2385,208,5,234,2
Chile,10088,358,4338,5617,528,7,133,7
Ecuador,9468,446,1061,7933,537,27,474,18
Saudi Arabia,9362,1088,1398,7867,269,3,97,5
Poland,9287,545,1040,7887,245,10,360,13
Romania,8746,328,1892,6403,455,23,451,30
Pakistan,8348,710,1868,6312,38,0.8,168,25
Mexico,7497,622,2627,4220,58,5,650,104
Denmark,7384,142,4141,2888,1275,61,355,9
Norway,7078,42,32,6881,1306,30,165,1
UAE,6781,479,1286,5454,686,4,41,4
Czechia,6746,140,1298,5262,630,17,186,5
Australia,6612,26,4230,2311,259,3,71,1
Singapore,6588,596,768,5809,1126,2,11,0
Indonesia,6575,327,686,5307,24,2,582,47
Serbia,6318,324,753,5443,723,14,122,5
Philippines,6259,172,572,5278,57,4,409,12
Ukraine,5449,343,347,4961,125,3,141,8
Qatar,5448,440,518,4922,1891,3,8,0
Malaysia,5389,84,3197,2103,167,3,89,1
Belarus,4779,0,494,4238,506,5,47,2
Dominican Republic,4680,345,363,4091,431,21,226,9
Panama,4273,63,140,4013,990,28,120,4
Colombia,3792,171,711,2902,75,4,179,13
Finland,3783,102,1700,1989,683,17,94,4
Luxembourg,3550,13,627,2850,5671,117,73,1
South Africa,3158,124,903,2201,53,0.9,54,2
Egypt,3144,112,732,2173,31,2,239,15
Argentina,2941,102,709,2098,65,3,134,2
Morocco,2855,170,327,2387,77,4,141,4
Thailand,2765,32,1928,790,40,0.7,47,0
Algeria,2629,95,1047,1207,60,9,375,8
Moldova,2472,121,457,1948,613,17,67,10
Bangladesh,2456,312,75,2290,15,0.6,91,7
Greece,2235,0,269,1853,214,11,113,3
Hungary,1916,82,250,1477,198,20,189,17
Kuwait,1915,164,305,1603,448,2,7,1
Bahrain,1881,108,759,1115,1105,4,7,0
Croatia,1871,39,709,1115,456,11,47,8
Iceland,1771,11,1291,471,5190,26,9,0
Kazakhstan,1676,61,400,1259,89,0.9,17,0
Uzbekistan,1565,75,225,1335,47,0.1,5,0
Iraq,1539,26,1009,448,38,2,82,0
Estonia,1528,16,164,1324,1152,30,40,2
New Zealand,1431,9,912,507,297,2,12,1
Azerbaijan,1398,25,712,667,138,2,19,1
Slovenia,1330,13,192,1064,640,36,74,4
Lithuania,1298,59,242,1021,477,13,35,2
Armenia,1291,43,545,726,436,7,20,0
Bosnia and Herzegovina,1285,17,347,890,392,15,48,1
Oman,1266,86,233,1026,248,1,7,1
North Macedonia,1207,37,179,977,579,24,51,2
Slovakia,1161,72,229,920,213,2,12,1
Ghana,1042,208,99,934,34,0.3,9,0
Cuba,1035,49,255,746,91,3,34,2
Hong Kong,1026,2,602,420,137,0.5,4,0
Cameroon,1017,0,305,670,38,2,42,0
Afghanistan,996,63,131,832,26,0.8,33,3
Bulgaria,894,16,161,691,129,6,42,1
Tunisia,879,13,43,798,74,3,38,1
Ivory Coast,847,46,260,578,32,0.3,9,1
Djibouti,846,114,102,742,856,2,2,0
Cyprus,767,6,81,674,635,10,12,0
Latvia,727,15,88,634,385,3,5,0
Andorra,713,9,235,442,9228,466,36,1
Diamond Princess,712,0,644,55,0,0,13,0
Lebanon,673,1,102,550,99,3,21,0
Costa Rica,660,5,112,543,130,1,5,1
Niger,648,9,117,511,27,0.8,20,1
Nigeria,627,85,170,436,3,0.1,21,2
Guinea,579,61,87,487,44,0.4,5,2
Burkina Faso,576,11,338,202,28,2,36,0
Albania,562,14,314,222,195,9,26,0
Kyrgyzstan,554,48,133,416,85,0.8,5,0
Bolivia,520,27,31,457,45,3,32,1
Uruguay,517,0,298,209,149,3,10,1
Channel Islands,488,4,73,394,2807,121,21,0
Honduras,472,15,15,411,48,5,46,0
San Marino,461,6,60,362,13586,1149,39,0
Palestine,439,21,71,365,86,0.6,3,1
Malta,427,1,118,306,967,7,3,0
Taiwan,420,22,189,225,18,0.3,6,0
Jordan,417,4,276,134,41,0.7,7,0
Réunion,408,1,237,171,456,0,0,0
Georgia,394,6,93,297,99,1,4,0
Senegal,367,17,220,144,22,0.2,3,0
Mauritius,328,3,208,111,258,7,9,0
DRC,327,20,26,276,4,0.3,25,0
Montenegro,308,1,55,248,490,8,5,0
Isle of Man,298,1,193,99,3505,71,6,0
Sri Lanka,271,17,96,168,13,0.3,7,0
Mayotte,271,17,117,150,993,15,4,0
Kenya,270,8,67,189,5,0.3,14,2
Vietnam,268,0,202,66,3,0,0,0
Guatemala,257,22,21,229,14,0.4,7,0
Venezuela,256,29,117,130,9,0.3,9,0
Mali,224,8,42,168,11,0.7,14,1
Paraguay,206,4,41,157,29,1,8,0
El Salvador,201,11,44,150,31,1,7,0
Faeroe Islands,185,1,176,9,3786,0,0,0
Jamaica,173,10,27,141,58,2,5,0
Tanzania,170,23,11,152,3,0.1,7,2
Somalia,164,29,3,154,10,0.4,7,0
Martinique,163,0,73,78,434,32,12,0
Guadeloupe,148,0,73,67,370,20,8,0
Rwanda,147,3,76,71,11,0,0,0
Congo,143,0,11,126,26,1,6,0
Brunei ,138,1,115,22,315,2,1,0
Gibraltar,132,0,120,12,3918,0,0,0
Cambodia,122,0,105,17,7,0,0,0
Madagascar,121,1,39,82,4,0,0,0
Trinidad and Tobago,114,0,21,85,81,6,8,0
Myanmar,111,13,7,99,2,0.09,5,0
Gabon,109,1,7,101,49,0.4,1,0
Ethiopia,108,3,16,89,0.9,0.03,3,0
Aruba,97,1,49,46,909,19,2,0
French Guiana,96,0,64,32,321,0,0,0
Monaco,94,0,22,69,2395,76,3,0
Liberia,91,15,7,76,18,2,8,1
Bermuda,86,3,35,46,1381,80,5,0
Togo,84,0,52,27,10,0.6,5,0
Liechtenstein,81,0,55,25,2124,26,1,0
Equatorial Guinea,79,0,4,75,56,0,0,0
Barbados,75,0,17,53,261,17,5,0
Sint Maarten,67,3,12,45,1563,233,10,1
Sudan,66,0,6,50,2,0.2,10,0
Guyana,65,2,9,49,83,9,7,1
Zambia,61,4,33,25,3,0.2,3,1
Cabo Verde,61,3,1,59,110,2,1,0
Cayman Islands,61,0,7,53,928,15,1,0
Bahamas,60,2,11,40,153,23,9,0
French Polynesia,55,0,2,53,196,0,0,0
Uganda,55,0,28,27,1,0,0,0
Maldives,52,17,16,36,96,0,0,0
Libya,51,2,11,39,7,0.1,1,0
Guinea-Bissau,50,4,3,47,25,0,0,0
Haiti,47,3,0,44,4,0.3,3,0
Macao,45,0,17,28,69,0,0,0
Syria,39,1,5,31,2,0.2,3,1
Eritrea,39,0,3,36,11,0,0,0
Mozambique,39,4,8,31,1,0,0,0
Saint Martin,37,0,19,16,957,52,2,0
Benin,35,0,18,16,3,0.08,1,0
Sierra Leone,35,5,6,29,4,0,0,0
Chad,33,0,8,25,2,0,0,0
Mongolia,32,1,7,25,10,0,0,0
Nepal,31,0,4,27,1,0,0,0
Zimbabwe,25,0,2,20,2,0.2,3,0
Angola,24,0,6,16,0.7,0.06,2,0
Antigua and Barbuda,23,0,3,17,235,31,3,0
Eswatini,22,0,8,13,19,0.9,1,0
Botswana,20,5,0,19,9,0.4,1,0
Laos,19,0,2,17,3,0,0,0
Timor-Leste,19,1,1,18,14,0,0,0
Belize,18,0,2,14,45,5,2,0
New Caledonia,18,0,15,3,63,0,0,0
Malawi,17,0,3,12,0.9,0.1,2,0
Fiji,17,0,0,17,19,0,0,0
Dominica,16,0,8,8,222,0,0,0
Namibia,16,0,6,10,6,0,0,0
Saint Lucia,15,0,11,4,82,0,0,0
Curaçao,14,0,11,2,85,6,1,0
Grenada,14,0,6,8,124,0,0,0
Saint Kitts and Nevis,14,0,0,14,263,0,0,0
CAR,12,0,4,8,2,0,0,0
St. Vincent Grenadines,12,0,1,11,108,0,0,0
Turks and Caicos,11,0,0,10,284,26,1,0
Falkland Islands,11,0,3,8,3161,0,0,0
Greenland,11,0,11,0,194,0,0,0
Montserrat,11,0,2,9,2204,0,0,0
Seychelles,11,0,5,6,112,0,0,0
Nicaragua,10,1,6,2,2,0.3,2,0
Gambia,10,1,2,7,4,0.4,1,0
Suriname,10,0,6,3,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Vatican City,8,0,2,6,9988,0,0,0
Mauritania,7,0,6,0,2,0.2,1,0
Papua New Guinea,7,0,0,7,0.8,0,0,0
St. Barth,6,0,5,1,607,0,0,0
Western Sahara,6,0,0,6,10,0,0,0
Burundi,5,0,0,4,0.4,0.08,1,0
Bhutan,5,0,2,3,6,0,0,0
Caribbean Netherlands,5,2,0,5,191,0,0,0
British Virgin Islands,4,0,2,1,132,33,1,1
Sao Tome and Principe,4,0,0,4,18,0,0,0
South Sudan,4,0,0,4,0.4,0,0,0
Anguilla,3,0,1,2,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
